# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb 15 22:00:38 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_telescope:   Discovery Telescope
# COLUMN pl_instrument:  Discovery Instrument
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
#
pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_telescope,pl_instrument,pl_pelink,st_age,st_ageerr1,st_ageerr2,st_agelim
11 Com b,1,326.03000000,0.32000000,-0.32000000,0,93.37,1.92,-1.92,0,4742.00,100.00,-100.00,0,2.70,0.30,-0.30,0,19.00,2.00,-2.00,0,,,,,,,,,2.16 m Telescope,Coude Echelle Spectrograph,http://exoplanet.eu/catalog/11_com_b/,,,,
11 UMi b,1,516.21997000,3.20000000,-3.20000000,0,125.72,1.97,-1.97,0,4213.00,46.00,-46.00,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,,,,0,,,,0,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,http://exoplanet.eu/catalog/11_umi_b/,,,,0
14 And b,1,185.84000000,0.23000000,-0.23000000,0,75.59,0.71,-0.71,0,4813.00,20.00,-20.00,0,2.20,0.10,-0.20,0,11.00,1.00,-1.00,0,,,,,,,,,1.88 m Telescope,HIDES Echelle Spectrograph,http://exoplanet.eu/catalog/14_and_b/,,,,
14 Her b,1,1773.40002000,2.50000000,-2.50000000,0,17.94,0.01,-0.01,0,5338.00,25.00,-25.00,0,0.90,0.04,-0.04,0,0.93,0.01,-0.01,0,,,,0,,,,0,10 m Keck I Telescope,HIRES Spectrometer,http://exoplanet.eu/catalog/14_her_b/,,,,0
16 Cyg B b,1,798.50000000,1.00000000,-1.00000000,0,21.15,0.01,-0.01,0,5750.00,8.00,-8.00,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,,,,0,,,,0,Multiple Telescopes,Multiple Instruments,http://exoplanet.eu/catalog/16_cyg_b_b/,,,,0
18 Del b,1,993.30000000,3.20000000,-3.20000000,0,76.38,0.62,-0.62,0,4979.00,18.00,-18.00,0,2.30,,,0,8.50,,,0,,,,,,,,,1.88 m Telescope,HIDES Echelle Spectrograph,http://exoplanet.eu/catalog/18_del_b/,,,,
1RXS J160929.1-210524 b,1,,,,,145.00,14.00,-14.00,0,4060.00,300.00,-200.00,0,0.85,0.20,-0.10,0,,,,,1700,100,-100,0,,,,,8.19 m Gemini North Telescope,NIRI Camera,http://exoplanet.eu/catalog/1rxs_1609_b/,0.005,,,
24 Boo b,1,30.35060000,0.00780000,-0.00770000,0,96.25,0.64,-0.64,0,4893.00,15.00,-15.00,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,,,,0,,,,0,1.88 m Telescope,HIDES Echelle Spectrograph,http://exoplanet.eu/catalog/24_boo_b/,6.920,4.830,-2.750,0
24 Sex b,2,452.80000000,2.10000000,-4.50000000,0,72.21,0.68,-0.68,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,,,,,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/24_sex_b/,2.700,0.400,-0.400,
24 Sex c,2,883.00000000,32.40000000,-13.80000000,0,72.21,0.68,-0.68,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,,,,,,,,,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,http://exoplanet.eu/catalog/24_sex_c/,2.700,0.400,-0.400,
2MASS J01225093-2439505 b,1,,,,,36.00,4.00,-4.00,0,3530.00,50.00,-50.00,0,0.40,0.05,-0.05,0,,,,,,,,,,,,,10 m Keck II Telescope,NIRC2 Camera,http://exoplanet.eu/catalog/2m_0122-24_b/,0.120,0.010,-0.010,
2MASS J02192210-3925225 b,1,,,,,39.40,2.60,-2.60,0,3064.00,76.00,-76.00,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,,,,,16.141,0.336,-0.336,0,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,http://exoplanet.eu/catalog/2m_0219-39_b/,0.035,0.005,-0.005,
2MASS J04414489+2301513 b,1,,,,,140.00,,,0,,,,,0.02,,,0,,,,,,,,,,,,,2.4 m Hubble Space Telescope,WFPC2 Camera,http://exoplanet.eu/catalog/2m_0441%2B23_b/,0.001,,,
2MASS J12073346-3932539 b,1,,,,,64.42,0.65,-0.65,0,,,,,0.02,,,0,,,,,1150,150,-150,0,,,,,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,http://exoplanet.eu/catalog/2m1207_b/,0.008,0.004,-0.003,
2MASS J19383260+4603591 b,1,416.00000000,2.00000000,-2.00000000,0,400.77,6.48,-6.48,0,,,,,0.48,0.03,-0.03,0,,,,,,,,,,,,,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/2m_1938%2B46_b/,,,,
2MASS J21402931+1625183 A b,1,7336.50000000,1934.50000000,-584.00000000,0,25.00,10.00,-10.00,0,2300.00,80.00,-80.00,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,2075,70,-70,0,10.310,4.370,-4.040,0,10 m Keck II Telescope,NIRC2 Camera,http://exoplanet.eu/catalog/2m_2140+16_b/,,,,
2MASS J22362452+4751425 b,1,,,,,74.00,10.00,-10.00,0,4045.00,35.00,-35.00,0,0.60,0.05,-0.05,0,,,,,,,,,,,,,10 m Keck II Telescope,NIRC2 Camera,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,0.120,0.010,-0.010,
