loc_rowid,pl_name,pl_pnum,pl_orbper,st_dist,st_teff,pl_masse,pl_rade,pl_publ_date
1,11 Com b,1,326.03000000,93.37,4742.00,,,2008-01
2,11 UMi b,1,516.21997000,125.72,4213.00,,,2009-10
3,14 And b,1,185.84000000,75.59,4813.00,,,2008-12
4,14 Her b,1,1773.40002000,17.94,5338.00,,,2003-01
5,16 Cyg B b,1,798.50000000,21.15,5750.00,,,1997-07
6,18 Del b,1,993.30000000,76.38,4979.00,,,2008-06
7,1RXS J160929.1-210524 b,1,,145.00,4060.00,3000.00000,,2008-12
8,24 Boo b,1,30.35060000,96.25,4893.00,,,
9,24 Sex b,2,452.80000000,72.21,5098.00,,,2011-01
10,24 Sex c,2,883.00000000,72.21,5098.00,,,2011-01
11,2MASS J01225093-2439505 b,1,,36.00,3530.00,7786.50000,,2013-08
12,2MASS J02192210-3925225 b,1,,39.40,3064.00,4417.83700,16.141,2015-06
13,2MASS J04414489+2301513 b,1,,140.00,,2383.60000,,2010-05
14,2MASS J12073346-3932539 b,1,,64.42,,1271.00000,,2004-10
15,2MASS J19383260+4603591 b,1,416.00000000,400.77,,603.87700,,2015-05
16,2MASS J21402931+1625183 A b,1,7336.50000000,25.00,2300.00,6657.48000,10.310,2010-03
17,2MASS J22362452+4751425 b,1,,74.00,4045.00,3972.87500,,
18,30 Ari B b,1,335.10001000,44.71,6331.00,,,2009-12
19,4 UMa b,1,269.30000000,73.58,4415.00,,,2007-09
20,42 Dra b,1,479.10000000,90.86,4200.00,,,2009-06
21,47 UMa b,3,1078.00000000,13.80,5892.00,,,1996-06
22,47 UMa c,3,2391.00000000,13.80,5892.00,,,2002-01
23,47 UMa d,3,14002.00000000,13.80,5892.00,,,2010-04
24,51 Eri b,1,11688.00000000,29.40,,,,2015-08
25,51 Peg b,1,4.23078500,15.47,5793.00,,,1995-11
26,55 Cnc b,5,14.65152000,12.59,5196.00,263.97850,,1997-01
27,55 Cnc c,5,44.41750000,12.59,5196.00,54.47380,,2004-10
28,55 Cnc d,5,4825.00000000,12.59,5196.00,1232.49300,,2002-12
